Account,PageNumber,Date,Detalhes,Debit,Credit,Balance
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,3,6 Jan 2025,To Ianara Fernandes,,19.00,21.09
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,3,6 Jan 2025,Transfer from GIUSEPE TARGINO DE SOUZA,,50.00,71.09
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,3,6 Jan 2025,Dublin Airport Car Park,,3.00,68.09
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,3,6 Jan 2025,My Name Tags,,17.95,50.14
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,3,6 Jan 2025,Transfer from ANA CLAUDIA MASKE,,45.00,95.14
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,3,6 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,,5.00,90.14
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,3,6 Jan 2025,To pocket EUR Theo saves from EUR,,5.00,85.14
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,3,7 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,,5.00,80.14
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,3,7 Jan 2025,To pocket EUR Theo saves from EUR,,5.00,75.14
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,3,7 Jan 2025,Irish Stamp Duty,,0.12,75.02
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,3,8 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,,5.00,70.02
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,3,8 Jan 2025,To pocket EUR Theo saves from EUR,,5.00,65.02
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,4,8 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,,10.00,55.02
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,4,8 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,,10.00,45.02
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,4,8 Jan 2025,Payment from DANIELE VINHAS,,80.00,125.02
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,4,9 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,,5.00,120.02
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,4,9 Jan 2025,To pocket EUR Theo saves from EUR,,5.00,115.02
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,4,9 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,,0.10,114.92
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,4,9 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,,10.00,104.92
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,4,9 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,,5.00,99.92
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,4,9 Jan 2025,Gough Brothers,,1.00,98.92
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,4,9 Jan 2025,Circle K Gas Station,,20.00,78.92
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,4,9 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,,10.00,68.92
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,4,10 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,,5.00,63.92
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,4,10 Jan 2025,To pocket EUR Theo saves from EUR,,5.00,58.92
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,4,10 Jan 2025,Ryanair,,5.00,53.92
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,4,10 Jan 2025,Coca-Cola,,2.50,51.42
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,4,10 Jan 2025,Coca-Cola,,3.00,48.42
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,4,10 Jan 2025,To Parking Prefeitura,,5.00,43.42
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,4,10 Jan 2025,WHSmith,,8.99,34.43
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,4,10 Jan 2025,Pocket Withdrawal,,50.00,84.43
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,4,10 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,,10.00,74.43
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,4,10 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,,7.00,67.43
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,4,10 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,,10.00,57.43
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,4,10 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,,2.00,55.43
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,4,11 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,,5.00,50.43
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,5,11 Jan 2025,To pocket EUR Theo saves from EUR,,5.00,45.43
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,5,11 Jan 2025,Quiosque Norteshop,,1.30,44.13
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,5,11 Jan 2025,Bodegão,,2.80,41.33
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,5,11 Jan 2025,Bodegão,,4.00,37.33
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,5,11 Jan 2025,DrOnline,,35.00,2.33
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,5,11 Jan 2025,Pocket Withdrawal,,30.00,32.33
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,5,11 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,,3.00,29.33
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,5,12 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,,5.00,24.33
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,5,12 Jan 2025,To pocket EUR Theo saves from EUR,,5.00,19.33
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,5,12 Jan 2025,Parque Beira Rio,,8.70,10.63
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,5,12 Jan 2025,Gaia Beira Rio,,1.20,9.43
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,5,14 Jan 2025,PayPay,,1.80,7.63
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,5,14 Jan 2025,Ryanair,,7.50,0.13
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,5,16 Jan 2025,Pocket Withdrawal,,30.00,30.13
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,5,16 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,,4.00,26.13
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,5,16 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,,5.00,21.13
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,5,16 Jan 2025,To pocket EUR Theo saves from EUR,,5.00,16.13
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,5,17 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,,5.00,11.13
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,5,17 Jan 2025,To pocket EUR Theo saves from EUR,,5.00,6.13
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,5,17 Jan 2025,Pocket Withdrawal,,20.00,26.13
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,5,17 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,,10.00,16.13
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,5,17 Jan 2025,Pocket Withdrawal,,40.00,56.13
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,5,17 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,,10.00,46.13
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,5,17 Jan 2025,areas,,3.60,42.53
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,6,17 Jan 2025,Transfer from KARINE GATELLI D AGOSTINI,,40.00,82.53
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,6,17 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,,2.50,80.03
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,6,18 Jan 2025,Junos Coffee,,3.00,77.03
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,6,18 Jan 2025,Mbeauty,,48.75,28.28
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,6,18 Jan 2025,Circle K Gas Station,,20.00,8.28
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,6,18 Jan 2025,Ryanair,,7.50,0.78
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,6,20 Jan 2025,Pocket Withdrawal,,613.00,613.78
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,6,21 Jan 2025,Allianz,,612.71,1.07
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,6,22 Jan 2025,Pocket Withdrawal,,40.00,41.07
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,6,22 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,,10.00,31.07
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,6,22 Jan 2025,Transfer from AMANDA ALESSANDRA LIMA BANFFY,,120.00,151.07
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,6,22 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,,3.50,147.57
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,6,22 Jan 2025,Transfer from HELENA MIDORI CUNHA CASTRO,,60.00,207.57
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,6,22 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,,5.00,202.57
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,6,22 Jan 2025,To pocket EUR Theo saves from EUR,,5.00,197.57
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,6,22 Jan 2025,To pocket EUR Theo saves from EUR,,140.00,57.57
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,6,22 Jan 2025,To pocket EUR Theo saves from EUR,,3.00,54.57
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,6,23 Jan 2025,Pocket Withdrawal,,200.00,254.57
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,6,23 Jan 2025,To Ianara Fernandes,,200.00,54.57
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,6,23 Jan 2025,Pocket Withdrawal,,10.00,64.57
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,6,23 Jan 2025,Transfer from RAFAELA DAVILA RODRIGUES,,65.00,129.57
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,6,23 Jan 2025,Dunnes Stores,,24.65,104.92
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,7,23 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,,5.00,99.92
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,7,23 Jan 2025,To pocket EUR Theo saves from EUR,,5.00,94.92
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,7,23 Jan 2025,Circle K Gas Station,,20.06,74.86
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,7,23 Jan 2025,Circle K Gas Station,,8.50,66.36
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,7,24 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,,5.00,61.36
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,7,24 Jan 2025,To pocket EUR Theo saves from EUR,,5.00,56.36
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,7,24 Jan 2025,Bruno's News Agent,,4.00,52.36
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,7,25 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,,5.00,47.36
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,7,25 Jan 2025,To pocket EUR Theo saves from EUR,,5.00,42.36
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,7,25 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,,6.00,36.36
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,7,26 Jan 2025,Applegreen,,31.40,4.96
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,7,28 Jan 2025,Liffey Valley parking,,2.50,2.46
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,7,29 Jan 2025,Pocket Withdrawal,,400.00,402.46
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,7,29 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,,6.20,396.26
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,7,29 Jan 2025,Pocket Withdrawal,,50.00,446.26
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,7,29 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,,5.00,441.26
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,7,29 Jan 2025,To pocket EUR Theo saves from EUR,,5.00,436.26
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,7,30 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,,5.00,431.26
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,7,30 Jan 2025,To pocket EUR Theo saves from EUR,,5.00,426.26
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,7,30 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,,0.10,426.16
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,7,30 Jan 2025,Transfer to SABRINI RESENDE,,30.00,396.16
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,7,30 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,,10.00,386.16
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,7,31 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,,5.00,381.16
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,7,31 Jan 2025,To pocket EUR Theo saves from EUR,,5.00,376.16
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,7,31 Jan 2025,To pocket EUR Ia saves for holidays etc from EUR,,2.10,374.06
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,8,31 Jan 2025,Circle K Gas Station,,20.00,354.06
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,8,31 Jan 2025,Allianz,,210.38,143.68
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,8,31 Jan 2025,Amazon Music,,5.99,137.69
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,8,1 Feb 2025,To pocket EUR Ia saves for holidays etc from EUR,,5.00,132.69
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,8,1 Feb 2025,To pocket EUR Theo saves from EUR,,5.00,127.69
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,8,1 Feb 2025,Dunnes Stores,,7.79,119.90
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,8,1 Feb 2025,To pocket EUR Ia saves for holidays etc from EUR,,8.60,111.30
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,8,1 Feb 2025,Transfer from LIZANDRA RIBEIRO CAVALCANTE,,26.00,137.30
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,8,1 Feb 2025,To pocket EUR Ia saves for holidays etc from EUR,,5.50,131.80
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,8,2 Feb 2025,To pocket EUR Ia saves for holidays etc from EUR,,5.00,126.80
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,8,2 Feb 2025,To pocket EUR Theo saves from EUR,,5.00,121.80
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,8,2 Feb 2025,Amazon,,22.45,99.35
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,8,3 Feb 2025,To pocket EUR Ia saves for holidays etc from EUR,,5.00,94.35
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,8,3 Feb 2025,To pocket EUR Theo saves from EUR,,5.00,89.35
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,8,3 Feb 2025,Amazon,,25.14,64.21
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,8,3 Feb 2025,Pocket Withdrawal,,88.00,152.21
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,8,3 Feb 2025,www.aerlingus.com*Dublin,,78.94,73.27
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,8,3 Feb 2025,To pocket EUR Ia saves for holidays etc from EUR,,1.80,71.47
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,8,4 Feb 2025,To pocket EUR Ia saves for holidays etc from EUR,,5.00,66.47
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,8,4 Feb 2025,To pocket EUR Theo saves from EUR,,5.00,61.47
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,8,4 Feb 2025,Pocket Withdrawal,,60.00,121.47
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,8,4 Feb 2025,To pocket EUR Ia saves for holidays etc from EUR,,5.30,116.17
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,8,4 Feb 2025,Transfer from MARCELLY PEDRA REZENDE DA SILVA,,45.00,161.17
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,8,5 Feb 2025,To pocket EUR Ia saves for holidays etc from EUR,,5.00,156.17
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,9,5 Feb 2025,To pocket EUR Theo saves from EUR,,5.00,151.17
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,9,5 Feb 2025,To pocket EUR Ia saves for holidays etc from EUR,,1.40,149.77
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,9,5 Feb 2025,Ryanair,,58.82,90.95
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,9,5 Feb 2025,Dunnes Stores,,56.47,34.48
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,9,5 Feb 2025,Amazon,,10.86,23.62
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,9,6 Feb 2025,To pocket EUR Ia saves for holidays etc from EUR,,5.00,18.62
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,9,6 Feb 2025,To pocket EUR Theo saves from EUR,,5.00,13.62
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,9,6 Feb 2025,Google Pay top-up by *8687,,140.00,153.62
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,9,6 Feb 2025,To pocket EUR Theo saves from EUR,,140.00,13.62
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,9,6 Feb 2025,To pocket EUR Ia saves for holidays etc from EUR,,10.00,3.62
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,9,6 Feb 2025,Pocket Withdrawal,,20.00,23.62
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,9,7 Feb 2025,To pocket EUR Ia saves for holidays etc from EUR,,5.00,18.62
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,9,7 Feb 2025,To pocket EUR Theo saves from EUR,,5.00,13.62
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,9,7 Feb 2025,Pocket Withdrawal,,12.00,25.62
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,9,7 Feb 2025,Hickey’s Pharmacy,,3.00,22.62
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,9,7 Feb 2025,Pocket Withdrawal,,150.00,172.62
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,9,7 Feb 2025,Transfer to Dionata Mesquita,,150.00,22.62
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,9,7 Feb 2025,Transfer from BRENDAN OHANLON,,22.00,44.62
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,9,8 Feb 2025,To pocket EUR Ia saves for holidays etc from EUR,,5.00,39.62
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,9,8 Feb 2025,To pocket EUR Theo saves from EUR,,5.00,34.62
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,9,8 Feb 2025,Amazon,,21.22,13.40
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,9,8 Feb 2025,Pocket Withdrawal,,11.00,24.40
account-statement_2025-01-01_2025-11-27_en-ie_b8eae1 (2).pdf,9,8 Feb 2025,Pocket Withdrawal,,200.00,224.40
